Titel,Path,Streetname,Postalcode,Location,Price,Rooms,Area
Mehrfamilienhaus in Hochdorf kaufen,/de/wohnung/bellevuestrasse-2-6280-hochdorf/589797/,Bellevuestrasse 2,6280,Hochdorf,1840000,NaN,315 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/bruchstrasse-24-6003-luzern/589793/,Bruchstrasse 24,6003,Luzern,1500,2 ½,62 m²
3 ½ Zimmer-Wohnung in Hochdorf mieten,/de/wohnung/rosengartenstrasse-32-6280-hochdorf/589738/,Rosengartenstrasse 32,6280,Hochdorf,1750,3 ½,85 m²
2 ½ Zimmer-Wohnung in Hagendorn mieten,/de/wohnung/dorfstr-17-gebaude-b-6332-hagendorn/589646/,Dorfstr. 17,(Gebäude,B),2300,2 ½,74 m²
1 ½ Zimmer-Dachwohnung in Emmenbrücke mieten,/de/wohnung/centralstrasse-5-6020-emmenbrucke/587055/,Centralstrasse 5,6020,Emmenbrücke,850,1 ½,NaN
2 Zimmer-Dachwohnung in Emmenbrücke mieten,/de/wohnung/centralstrasse-5-6020-emmenbrucke/589454/,Centralstrasse 5,6020,Emmenbrücke,1180,2,NaN
2 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/untere-wiese-7-6020-emmenbrucke/589453/,Untere Wiese 7,6020,Emmenbrücke,1480,2 ½,61 m²
2 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/untere-wiese-7-6020-emmenbrucke/589452/,Untere Wiese 7,6020,Emmenbrücke,1430,2 ½,61 m²
3 Zimmer-Wohnung in Kriens mieten,/de/wohnung/schlossweg-14-6010-kriens/589436/,Schlossweg 14,6010,Kriens,1450,3,60 m²
5 ½ Zimmer-Wohnung in Rain mieten,/de/wohnung/gaali-6-6026-rain/586359/,Gääli 6,6026,Rain,2220,5 ½,133 m²
3 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/brisenstrasse-7-6020-emmenbrucke/589096/,Brisenstrasse 7,6020,Emmenbrücke,1950,3 ½,82 m²
1 ½ Zimmer-Wohnung in Emmen mieten,/de/wohnung/lindenfeldring-6-6032-emmen/588594/,Lindenfeldring 6,6032,Emmen,1090,1 ½,30 m²
2 ½ Zimmer-Wohnung in dietwil mieten,/de/wohnung/in-den-chlepfen-2-6042-dietwil/588259/,in den chlepfen 2,6042,dietwil,1100,2 ½,45 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/lindenstrasse-34-6015-luzern/588237/,Lindenstrasse 34,6015,Luzern,1260,2 ½,50 m²
4 ½ Zimmer-Wohnung in Kerns mieten,/de/wohnung/wijermattstrasse-3-6064-kerns/588227/,Wijermattstrasse 3,6064,Kerns,2235,4 ½,126 m²
3 ½ Zimmer-Wohnung in Luzern kaufen,/de/wohnung/luzern-6004-luzern/588203/,Luzern,6004,Luzern,1350000,3 ½,99 m²
5 ½ Zimmer-Wohnung in Luzern kaufen,/de/wohnung/luzern-6004-luzern/588202/,Luzern,6004,Luzern,1920000,5 ½,159 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/sternenplatz-7-6004-luzern/588154/,Sternenplatz 7,6004,Luzern,2160,3,75 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/wurzenbachstr-34-6006-luzern/588140/,Würzenbachstr. 34,6006,Luzern,1530,3,64 m²
4 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/habsburgerstrasse-37-6003-luzern/588107/,Habsburgerstrasse 37,6003,Luzern,2300,4 ½,115 m²
2 Zimmer-Dachwohnung in Hochdorf mieten,/de/wohnung/bellevuestrasse-44-6280-hochdorf/586078/,Bellevuestrasse 44,6280,Hochdorf,990,2,36 m²
3 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/gallusstrasse-10-6010-kriens/587676/,Gallusstrasse 10,6010,Kriens,1790,3 ½,74 m²
4 Zimmer-Wohnung in Stans mieten,/de/wohnung/buochserstrasse-11-6370-stans/587551/,Buochserstrasse 11,6370,Stans,1800,4,76 m²
3 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/am-mattenhof-4a-6010-kriens/587244/,Am Mattenhof 4a,6010,Kriens,2045,3 ½,84 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/schonbuhlring-3-6005-luzern/587222/,Schönbühlring 3,6005,Luzern,1750,3 ½,71 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/winkelriedstrasse-6003-luzern/587194/,Winkelriedstrasse,6003,Luzern,1450,2 ½,58 m²
3 ½ Zimmer-Wohnung in Emmenbrücke kaufen,/de/wohnung/emmenbrucke-6020-emmenbrucke/587173/,Emmenbrücke,6020,Emmenbrücke,515000,3 ½,94 m²
1 Zimmer-Wohnung in Kriens mieten,/de/wohnung/wyssmattstrasse-6-6010-kriens/587160/,Wyssmattstrasse 6,6010,Kriens,2500,1,NaN
Wohnung in Kriens mieten,/de/wohnung/wyssmattstrasse-6-6010-kriens/587150/,Wyssmattstrasse 6,6010,Kriens,1300,NaN,NaN
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/maihofmatte-8-6006-luzern/587126/,Maihofmatte 8,6006,Luzern,1700,3 ½,68 m²
1 Zimmer-Wohnung in Kriens mieten,/de/wohnung/wyssmattstrasse-6010-kriens/587078/,Wyssmattstrasse,6010,Kriens,1100,1,NaN
3 ½ Zimmer-Wohnung in Littau-Luzern mieten,/de/wohnung/luzernerstrasse-141d-6014-littau-luzern/586769/,Luzernerstrasse 141d,6014,Littau-Luzern,1955,3 ½,88 m²
4 Zimmer-Wohnung in Kriens mieten,/de/wohnung/wichlernweg-11-6010-kriens/586651/,Wichlernweg 11,6010,Kriens,1660,4,84 m²
2 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/wichlernstrasse-14-6010-kriens/585567/,Wichlernstrasse 14,6010,Kriens,1480,2 ½,65 m²
4 ½ Zimmer-Wohnung in Obernau mieten,/de/wohnung/feldhofli-3-6012-obernau/582111/,Feldhöfli 3,6012,Obernau,1980,4 ½,102 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/burgerstrasse-6-6003-luzern/586337/,Burgerstrasse 6,6003,Luzern,1140,2 ½,57 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/bundesstrasse-17-6003-luzern/586306/,Bundesstrasse 17,6003,Luzern,1870,3 ½,61 m²
3 ½ Zimmer-Wohnung in Hergiswil mieten,/de/wohnung/sonnenbergstrasse-17-6052-hergiswil/585651/,Sonnenbergstrasse 17,6052,Hergiswil,1540,3 ½,NaN
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/brunigstrasse-11-6005-luzern/585500/,Brünigstrasse 11,6005,Luzern,1390,2,40 m²
4 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/benziwil-47-6020-emmenbrucke/582081/,Benziwil 47,6020,Emmenbrücke,1830,4 ½,108 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/ennetweg-4-6015-luzern/575376/,Ennetweg 4,6015,Luzern,1990,3 ½,79 m²
3 ½ Zimmer-Wohnung in Hellbühl mieten,/de/wohnung/challenweg-6-6016-hellbuhl/585130/,Chällenweg 6,6016,Hellbühl,1530,3 ½,86 m²
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/blattenmoosstrasse-4-6014-luzern/582615/,Blattenmoosstrasse 4,6014,Luzern,1150,2,60 m²
5 Zimmer-Wohnung in Luzern mieten,/de/wohnung/wurzenbachhalde-13-6006-luzern/581700/,Würzenbachhalde 13,6006,Luzern,2030,5,99 m²
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/wurzenbachhalde-7-6006-luzern/581610/,Würzenbachhalde 7,6006,Luzern,940,2,33 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/seefeldstrasse-17-6006-luzern/585024/,Seefeldstrasse 17,6006,Luzern,1710,3 ½,72 m²
3 Zimmer-Wohnung in Malters mieten,/de/wohnung/muoshofstr-5-6102-malters/585010/,Muoshofstr. 5,6102,Malters,1522,3,76 m²
1 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/st-karliquai-9-6004-luzern/584476/,St. Karliquai 9,6004,Luzern,1225,1 ½,NaN
3 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/wichlernstrasse-6-6010-kriens/581253/,Wichlernstrasse 6,6010,Kriens,1730,3 ½,80 m²
3 ½ Zimmer-Wohnung in Küssnacht am Rigi mieten,/de/wohnung/grepperstrasse-50-6403-kussnacht-am-rigi/584285/,Grepperstrasse 50,6403,Küssnacht,1920,3 ½,NaN
1 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/lauerzweg-1a-6010-kriens/581549/,Lauerzweg 1a,6010,Kriens,1350,1 ½,52 m²
2 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/obere-erlen-31b-6020-emmenbrucke/584046/,Obere Erlen 31b,6020,Emmenbrücke,1242,2 ½,NaN
2 ½ Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/neuenkirchstrasse-7-6020-emmenbrucke/583795/,Neuenkirchstrasse 7,6020,Emmenbrücke,1540,2 ½,52 m²
4 ½ Zimmer-Haus in Eich kaufen,/de/wohnung/6205-eich/583794/,no street available,6205,Eich,2950000,4 ½,159 m²
4 Zimmer-Wohnung in Luzern mieten,/de/wohnung/baselstrasse-43-6003-luzern/583685/,Baselstrasse 43,6003,Luzern,1680,4,66 m²
3 Zimmer-Wohnung in Luzern mieten,/de/wohnung/baselstrasse-43-6003-luzern/583680/,Baselstrasse 43,6003,Luzern,1530,3,55 m²
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/roseneggweg-3-6005-luzern/583322/,Roseneggweg 3,6005,Luzern,1180,2,43 m²
2 ½ Zimmer-Wohnung in Eigenthal mieten,/de/wohnung/sonnhalde-6013-eigenthal/582974/,Sonnhalde,6013,Eigenthal,1300,2 ½,65 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/winkelriedstr-25-6003-luzern/582726/,Winkelriedstr. 25,6003,Luzern,2190,3 ½,75 m²
2 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/sternmattstrasse-119-6005-luzern/582691/,Sternmattstrasse 119,6005,Luzern,2000,2 ½,NaN
3 ½ Zimmer-Wohnung in Sins mieten,/de/wohnung/sonnhalde-4-5643-sins/582498/,Sonnhalde 4,5643,Sins,1600,3 ½,104 m²
1 Zimmer-Wohnung in Horw mieten,/de/wohnung/brunnmattstrasse-18-6048-horw/581414/,Brunnmattstrasse 18,6048,Horw,790,1,34 m²
4 ½ Zimmer-Terrassenwohnung in Luzern kaufen,/de/wohnung/6014-luzern/581315/,no street available,6014,Luzern,1830000,4 ½,152 m²
5 ½ Zimmer-Wohnung in Eich kaufen,/de/wohnung/6205-eich/581286/,no street available,6205,Eich,2190000,5 ½,145 m²
2 Zimmer-Wohnung in Luzern mieten,/de/wohnung/geissmattstasse-60-6004-luzern/581021/,Geissmattstasse 60,6004,Luzern,1340,2,60 m²
4 ½ Zimmer-Wohnung in Eschenbach mieten,/de/wohnung/6274-eschenbach/580988/,no street available,6274,Eschenbach,2090,4 ½,103 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/stkarlistrasse-17e-6004-luzern/580893/,St.Karlistrasse 17e,6004,Luzern,1850,3 ½,100 m²
4 ½ Zimmer-Wohnung in Cham kaufen,/de/wohnung/rutiweid-12-6330-cham/579071/,Rütiweid 12,6330,Cham,1710000,4 ½,122 m²
3 Zimmer-Wohnung in Rothenburg mieten,/de/wohnung/rudolfstrasse-1-6023-rothenburg/579043/,Rudolfstrasse 1,6023,Rothenburg,1350,3,70 m²
6 ½ Zimmer-Haus in Kriens kaufen,/de/wohnung/6010-kriens/578967/,no street available,6010,Kriens,2200000,6 ½,164 m²
3 ½ Zimmer-Wohnung in Kriens mieten,/de/wohnung/am-mattenhof-14-6010-kriens/578961/,Am Mattenhof 14,6010,Kriens,2200,3 ½,89 m²
6 ½ Zimmer-Haus in Adligenswil mieten,/de/wohnung/meiersmattstrasse-21a-6043-adligenswil/578771/,Meiersmattstrasse 21a,6043,Adligenswil,3800,6 ½,160 m²
3 ½ Zimmer-Wohnung in Emmen mieten,/de/wohnung/eschenstrasse-12-6020-emmen/578729/,Eschenstrasse 12,6020,Emmen,1550,3 ½,72 m²
"2 ½ Zimmer-Wohnung in Weggis ( inbegriffen ist Estrich, Wirtschaft-Raum und Parkplatz mieten",/de/wohnung/gotthardstrasse-83-6353-weggis-inbegriffen-ist-est/578400/,Gotthardstrasse 83,6353,Weggis,und,2 ½,66 m²
2 ½ Zimmer-Wohnung in Adligenswil mieten,/de/wohnung/kehlhofrain-9-6043-adligenswil/578255/,Kehlhofrain,9,"9,",1347,2 ½,59 m²
2 ½ Zimmer-Wohnung in Beromünster mieten,/de/wohnung/spittelgass-7-6215-beromunster/578012/,Spittelgass 7,6215,Beromünster,1610,2 ½,68 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/matthofring-24-6005-luzern/577775/,Matthofring 24,6005,Luzern,1715,3 ½,70 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/matthofring-22-6005-luzern/577774/,Matthofring 22,6005,Luzern,1715,3 ½,70 m²
3 ½ Zimmer-Wohnung in Stans mieten,/de/wohnung/langmattring-26-6370-stans/577446/,Langmattring 26,6370,Stans,2780,3 ½,101 m²
3 ½ Zimmer-Wohnung in Luzern mieten,/de/wohnung/langweiherstr-16-6014-luzern/577295/,Längweiherstr. 16,6014,Luzern,1560,3 ½,75 m²
4 Zimmer-Wohnung in Emmenbrücke mieten,/de/wohnung/muhlematt-7-6020-emmenbrucke/577254/,Mühlematt  7,6020,Emmenbrücke,1480,4,72 m²
