city,plz,rooms,anzahl_inserate
basel,4057,6.5,2
basel,4058,1.0,19
basel,4058,1.5,19
basel,4058,2.0,45
basel,4058,2.5,48
basel,4058,3.0,50
basel,4058,3.5,37
basel,4058,4.0,4
basel,4058,4.5,6
basel,4058,5.0,3
basel,4058,5.5,1
basel,4058,6.0,1
basel,4058,6.5,2
basel,4059,1.0,1
basel,4059,1.5,0
basel,4059,2.0,5
basel,4059,2.5,3
basel,4059,3.0,4
basel,4059,3.5,6
basel,4059,4.0,2
basel,4059,4.5,5
basel,4059,5.5,1
basel,4059,6.5,3
basel,4059,7.5,3
basel,4125,2.5,1
luzern,6003,1.0,22
luzern,6003,1.5,3
luzern,6003,2.0,16
luzern,6003,2.5,42
luzern,6003,3.0,29
luzern,6003,3.5,26
luzern,6003,4.0,21
luzern,6003,4.5,9
luzern,6003,5.5,1
luzern,6004,1.0,8
luzern,6004,1.5,9
luzern,6004,2.0,10
luzern,6004,2.5,18
luzern,6004,3.0,9
luzern,6004,3.5,15
luzern,6004,4.0,4
luzern,6004,4.5,2
luzern,6004,5.5,1
luzern,6005,1.0,4
luzern,6005,1.5,5
luzern,6005,2.0,8
luzern,6005,2.5,19
luzern,6005,3.0,14
luzern,6005,3.5,31
luzern,6005,4.0,8
luzern,6005,4.5,8
luzern,6005,5.0,0
luzern,6005,7.5,2
luzern,6006,1.0,11
luzern,6006,1.5,2
luzern,6006,2.0,9
luzern,6006,2.5,20
luzern,6006,3.0,6
luzern,6006,3.5,26
luzern,6006,4.0,4
luzern,6006,4.5,18
luzern,6006,5.0,1
luzern,6006,5.5,6
luzern,6006,7.5,1
luzern,6006,8.5,1
luzern,6014,1.0,3
luzern,6014,1.5,0
luzern,6014,2.0,2
luzern,6014,2.5,3
luzern,6014,3.0,2
luzern,6014,3.5,22
luzern,6014,4.5,4
luzern,6014,5.5,1
luzern,6015,1.0,1
luzern,6015,1.5,3
luzern,6015,2.0,4
luzern,6015,2.5,3
luzern,6015,3.0,2
luzern,6015,3.5,10
luzern,6015,4.0,0
luzern,6015,4.5,5
winterthur,8000,1.0,1
winterthur,8400,1.0,18
winterthur,8400,1.5,13
winterthur,8400,2.0,19
winterthur,8400,2.5,18
winterthur,8400,3.0,24
winterthur,8400,3.5,43
winterthur,8400,4.0,11
winterthur,8400,4.5,19
winterthur,8400,5.5,2
winterthur,8400,6.5,3
winterthur,8400,7.5,1
winterthur,8404,1.0,5
winterthur,8404,1.5,2
winterthur,8404,2.0,4
winterthur,8404,2.5,14
winterthur,8404,3.0,6
winterthur,8404,3.5,19
winterthur,8404,4.0,5
winterthur,8404,4.5,8
winterthur,8404,5.0,1
winterthur,8404,5.5,2
winterthur,8404,6.0,0
winterthur,8405,1.5,1
winterthur,8405,2.0,4
winterthur,8405,2.5,4
winterthur,8405,3.0,8
winterthur,8405,3.5,11
winterthur,8405,4.0,6
winterthur,8405,4.5,8
winterthur,8405,5.0,1
winterthur,8405,5.5,2
winterthur,8406,1.0,7
winterthur,8406,1.5,9
winterthur,8406,2.0,1
winterthur,8406,2.5,10
winterthur,8406,3.0,7
winterthur,8406,3.5,13
winterthur,8406,4.0,1
winterthur,8406,4.5,9
winterthur,8406,5.5,2
winterthur,8408,1.0,2
winterthur,8408,1.5,1
winterthur,8408,2.0,1
winterthur,8408,2.5,5
winterthur,8408,3.0,11
winterthur,8408,3.5,22
winterthur,8408,4.0,6
winterthur,8408,4.5,6
winterthur,8408,5.0,1
winterthur,8408,6.5,0
winterthur,8409,1.5,1
winterthur,8409,3.5,3
winterthur,8409,4.5,3
winterthur,8409,5.5,1
zuerich,8001,1.0,7
zuerich,8001,1.5,9
zuerich,8001,2.0,6
zuerich,8001,2.5,7
zuerich,8001,3.0,1
zuerich,8001,3.5,4
zuerich,8001,4.0,1
zuerich,8001,4.5,0
zuerich,8001,6.0,1
zuerich,8001,6.5,1
zuerich,8002,1.0,5
zuerich,8002,2.5,7
zuerich,8002,3.0,1
zuerich,8002,3.5,4
zuerich,8002,4.0,1
zuerich,8002,4.5,4
zuerich,8003,1.0,6
zuerich,8003,1.5,2
zuerich,8003,2.0,7
zuerich,8003,2.5,15
zuerich,8003,3.5,4
zuerich,8004,1.0,19
zuerich,8004,1.5,8
zuerich,8004,2.0,6
zuerich,8004,2.5,13
zuerich,8004,3.0,3
zuerich,8004,3.5,11
zuerich,8004,4.0,0
zuerich,8004,4.5,1
zuerich,8005,1.0,9
zuerich,8005,1.5,2
zuerich,8005,2.0,1
zuerich,8005,2.5,9
zuerich,8005,3.0,1
zuerich,8005,3.5,3
zuerich,8005,4.5,1
zuerich,8005,5.0,2
zuerich,8006,1.0,12
zuerich,8006,1.5,3
zuerich,8006,2.0,6
zuerich,8006,2.5,5
zuerich,8006,3.0,4
zuerich,8006,3.5,6
zuerich,8006,4.0,2
zuerich,8006,4.5,4
zuerich,8008,1.0,5
zuerich,8008,1.5,7
zuerich,8008,2.0,4
zuerich,8008,2.5,12
zuerich,8008,3.0,6
zuerich,8008,3.5,10
zuerich,8008,4.0,4
zuerich,8008,4.5,1
zuerich,8008,5.5,1
zuerich,8032,1.0,9
zuerich,8032,1.5,2
zuerich,8032,2.0,2
zuerich,8032,2.5,13
zuerich,8032,3.0,4
zuerich,8032,3.5,4
zuerich,8032,4.5,2
zuerich,8032,6.5,1
zuerich,8037,1.0,2
zuerich,8037,1.5,1
zuerich,8037,2.5,4
zuerich,8037,3.0,4
zuerich,8037,3.5,6
zuerich,8037,4.5,2
zuerich,8038,2.0,2
zuerich,8038,2.5,4
zuerich,8038,3.0,3
zuerich,8038,3.5,6
zuerich,8038,4.0,1
zuerich,8038,4.5,0
zuerich,8038,5.5,0
zuerich,8041,2.5,3
zuerich,8041,3.5,3
zuerich,8041,4.0,3
zuerich,8041,4.5,1
zuerich,8041,5.0,1
zuerich,8044,1.0,3
zuerich,8044,1.5,1
zuerich,8044,2.0,1
zuerich,8044,2.5,7
zuerich,8044,3.0,4
zuerich,8044,3.5,6
zuerich,8044,4.5,2
zuerich,8044,5.0,1
zuerich,8044,7.0,1
zuerich,8045,1.0,4
zuerich,8045,2.0,7
zuerich,8045,2.5,6
zuerich,8045,3.0,0
zuerich,8045,3.5,7
zuerich,8045,4.0,1
zuerich,8046,1.0,2
zuerich,8046,2.0,0
zuerich,8046,2.5,5
zuerich,8046,3.0,1
zuerich,8046,3.5,7
zuerich,8046,4.5,4
zuerich,8046,5.0,1
zuerich,8047,1.0,4
zuerich,8047,1.5,1
zuerich,8047,2.0,1
zuerich,8047,2.5,6
zuerich,8047,3.0,8
zuerich,8047,3.5,6
zuerich,8047,4.5,5
zuerich,8048,1.0,10
zuerich,8048,1.5,12
zuerich,8048,2.0,9
zuerich,8048,2.5,9
zuerich,8048,3.0,3
zuerich,8048,3.5,19
zuerich,8048,4.0,4
zuerich,8048,4.5,3
zuerich,8048,5.5,1
zuerich,8049,1.0,1
zuerich,8049,1.5,4
zuerich,8049,2.0,1
zuerich,8049,2.5,10
zuerich,8049,3.0,5
zuerich,8049,3.5,14
zuerich,8049,4.0,2
zuerich,8049,4.5,9
zuerich,8050,1.0,15
zuerich,8050,1.5,15
zuerich,8050,2.0,10
zuerich,8050,2.5,16
zuerich,8050,3.0,8
zuerich,8050,3.5,24
zuerich,8050,4.0,1
zuerich,8050,4.5,7
zuerich,8051,1.0,8
zuerich,8051,1.5,2
zuerich,8051,2.0,4
zuerich,8051,2.5,3
zuerich,8051,3.0,14
zuerich,8051,3.5,2
zuerich,8051,4.0,2
zuerich,8051,4.5,2
zuerich,8051,5.5,0
zuerich,8052,1.0,6
zuerich,8052,1.5,5
zuerich,8052,2.0,3
zuerich,8052,2.5,12
zuerich,8052,3.0,4
zuerich,8052,3.5,10
zuerich,8052,4.0,2
zuerich,8052,4.5,4
zuerich,8052,5.5,0
zuerich,8053,1.0,0
zuerich,8053,1.5,2
zuerich,8053,2.0,1
zuerich,8053,2.5,8
zuerich,8053,3.0,3
zuerich,8053,3.5,7
zuerich,8053,4.0,2
zuerich,8053,4.5,7
zuerich,8053,5.0,1
zuerich,8053,5.5,1
zuerich,8053,6.0,2
zuerich,8055,1.0,3
zuerich,8055,2.0,2
zuerich,8055,2.5,5
zuerich,8055,3.0,1
zuerich,8055,3.5,4
zuerich,8055,4.5,1
zuerich,8057,1.0,2
zuerich,8057,1.5,3
zuerich,8057,2.0,4
zuerich,8057,2.5,14
zuerich,8057,3.0,5
zuerich,8057,3.5,6
zuerich,8057,4.0,2
zuerich,8057,4.5,5
zuerich,8057,5.5,1
zuerich,8064,2.0,1
zuerich,8064,2.5,1
zuerich,8064,3.0,0
